50 1000
1 2 26
1 3 13
1 4 36
2 5 40
2 6 11
6 7 34
7 8 18
4 9 40
2 10 42
5 11 50
6 12 35
2 13 8
13 14 40
10 15 21
10 16 2
2 17 17
11 18 5
14 19 23
1 20 8
20 21 43
2 22 37
5 23 21
12 24 8
11 25 46
9 26 33
22 27 48
6 28 45
5 29 9
5 30 22
24 31 9
20 32 1
23 33 1
16 34 48
32 35 17
7 36 26
10 37 42
16 38 50
15 39 3
24 40 16
39 41 46
8 42 8
32 43 5
22 44 0
16 45 22
27 46 10
15 47 43
32 48 31
13 49 23
14 50 17
23 16 25
8 37 14
32 11 15
26 50 27
13 3 43
39 47 16
12 11 19
45 44 46
44 18 20
17 35 7
47 37 23
27 32 27
50 9 26
12 11 13
39 33 17
19 10 19
33 36 36
29 30 11
11 7 46
27 31 10
30 34 18
33 6 38
10 14 47
2 8 18
48 32 34
20 32 4
22 42 11
41 46 34
22 6 31
30 48 28
25 4 10
50 30 17
41 30 23
12 42 18
13 40 23
11 16 4
10 34 27
12 41 22
8 14 40
45 14 9
1 24 5
15 22 45
32 35 20
30 18 39
20 45 5
48 50 45
20 42 8
4 29 46
23 34 46
26 23 27
31 17 21
45 5 1
27 30 48
8 5 30
20 19 39
1 28 26
9 37 0
50 1 8
17 31 42
46 5 2
48 11 11
5 23 36
29 34 23
30 33 40
50 27 13
17 34 0
29 20 40
12 26 33
20 1 24
32 11 25
25 16 7
21 50 42
33 24 28
42 22 12
22 28 20
4 41 47
46 7 17
18 12 9
2 47 19
42 3 49
28 5 15
44 46 1
11 16 33
20 21 8
8 43 22
50 32 41
50 29 35
15 35 17
47 23 20
28 49 8
35 2 38
32 45 49
35 17 33
41 12 5
47 29 41
47 11 31
28 26 37
17 48 37
25 37 27
48 36 20
37 36 14
26 12 2
12 7 1
26 23 25
4 25 46
43 40 50
40 41 24
41 5 11
32 23 17
21 7 43
20 9 4
35 25 32
7 23 16
47 1 3
16 4 19
23 7 9
43 35 18
10 16 3
48 10 34
14 14 43
30 42 19
36 17 19
40 34 15
5 40 41
16 18 14
47 35 15
15 38 0
32 50 26
26 42 49
43 7 34
38 18 48
7 15 42
47 44 0
21 49 21
34 43 17
44 33 26
22 22 5
41 19 20
27 2 38
23 25 36
42 26 37
27 49 41
29 25 34
41 11 13
18 5 29
19 45 22
29 23 18
18 17 28
16 48 13
24 17 43
31 18 2
27 7 7
20 3 10
47 44 30
49 28 45
8 26 41
13 47 24
4 31 7
2 49 32
42 29 17
49 1 6
28 46 19
27 35 46
45 33 18
43 28 6
48 9 9
36 20 41
37 32 42
49 48 37
6 14 14
39 23 21
11 24 40
29 1 3
45 33 42
42 14 48
18 2 35
36 28 47
42 12 2
30 25 28
30 14 6
46 3 32
21 34 43
43 10 47
31 47 25
1 43 43
18 4 30
26 16 24
5 11 5
43 42 24
28 17 35
8 33 5
47 48 29
31 10 37
10 34 0
29 6 17
46 7 41
25 47 5
42 11 36
33 49 25
40 18 50
41 4 30
49 32 46
14 37 38
27 26 43
3 20 16
15 37 17
46 31 48
29 42 27
15 30 22
24 35 12
50 7 46
35 44 32
31 27 44
40 41 29
45 49 15
26 27 16
47 42 24
7 34 37
32 8 8
44 11 13
28 9 26
24 28 44
32 22 7
13 35 18
11 29 19
46 20 8
17 43 13
2 25 42
34 11 43
23 7 5
35 33 15
9 9 38
9 26 11
11 10 8
7 32 5
40 39 5
48 6 23
6 18 4
4 29 4
40 39 49
46 33 43
6 49 48
16 1 23
13 36 11
21 17 44
49 31 39
50 31 23
30 26 7
23 47 47
13 5 41
14 42 3
44 14 8
33 41 40
46 17 39
39 24 17
30 20 22
1 29 47
12 37 27
24 6 39
3 48 27
3 2 37
49 46 38
1 40 20
2 47 24
22 26 41
46 19 42
20 9 19
12 36 7
21 5 22
29 36 32
31 7 30
5 35 43
47 30 30
17 1 27
23 23 19
9 23 48
12 3 24
15 29 48
2 10 2
16 15 34
35 26 14
1 36 35
48 16 45
28 2 7
8 33 21
40 48 15
42 26 4
19 47 38
21 23 48
7 35 12
23 12 3
15 46 46
18 22 2
31 44 16
10 14 43
44 2 33
6 8 39
33 42 40
38 18 4
49 16 26
25 14 28
24 15 11
41 25 28
41 19 6
8 46 18
38 8 23
48 24 18
11 25 10
20 41 50
22 42 21
40 1 25
41 10 37
47 50 41
9 30 12
11 9 46
23 44 21
17 35 1
2 4 6
38 26 5
14 45 42
49 35 35
10 27 25
12 6 17
14 29 14
43 39 4
16 34 11
35 42 27
36 46 49
28 26 13
14 50 21
46 15 17
22 25 5
13 50 9
12 44 47
29 37 16
13 47 22
28 32 24
19 31 32
50 49 35
5 42 15
3 2 32
47 27 10
22 2 6
36 44 39
44 40 24
25 20 42
29 40 2
37 36 2
27 16 7
29 31 9
22 2 48
5 36 18
22 38 31
27 42 50
26 49 23
44 48 22
49 29 28
18 46 6
1 26 32
42 30 9
28 25 2
46 9 4
43 19 38
9 24 36
16 17 3
17 30 1
6 9 31
45 20 29
43 20 26
33 33 0
20 20 12
3 43 49
11 27 31
49 38 6
7 33 25
11 47 21
40 10 48
10 23 17
41 31 11
38 46 3
47 15 38
7 28 32
37 39 0
17 48 10
10 26 44
29 25 21
14 25 42
4 44 27
13 19 6
44 25 25
13 44 35
18 40 38
22 12 36
6 16 11
46 44 5
36 19 25
38 6 21
6 9 5
13 50 26
21 49 19
50 17 39
36 44 29
32 5 48
42 5 12
32 13 29
22 30 39
49 30 30
20 50 47
18 5 31
9 4 37
23 38 50
26 32 15
9 40 16
10 5 49
43 8 24
47 50 14
34 50 18
43 5 26
7 18 22
23 15 28
35 6 47
15 2 27
10 35 28
2 25 35
30 26 23
8 6 11
1 18 34
4 24 2
7 9 22
24 17 27
47 33 43
24 12 23
35 26 8
6 7 42
7 31 43
27 34 34
47 40 32
3 4 24
37 36 8
15 47 9
39 42 29
37 44 19
44 38 20
23 46 28
38 35 37
29 23 46
49 34 45
9 6 39
15 39 6
29 41 2
18 35 16
8 18 24
8 7 27
23 19 37
30 20 19
6 4 39
34 9 36
35 22 27
5 42 20
46 43 16
26 41 13
23 25 46
13 42 43
10 15 22
43 29 44
41 13 11
34 6 2
20 37 29
26 10 17
7 29 19
8 45 40
40 3 10
33 5 29
29 23 12
45 31 9
3 12 49
48 17 44
9 43 48
11 22 7
23 29 44
1 1 47
38 8 12
43 50 7
13 15 5
32 22 50
48 19 16
42 42 36
22 3 16
3 23 6
8 31 5
4 1 11
39 2 34
37 33 48
26 33 29
18 5 2
17 38 33
38 3 15
6 37 41
16 30 11
13 48 38
30 13 35
10 42 16
29 23 22
3 9 8
9 3 7
25 20 40
27 31 29
44 8 31
9 20 27
48 23 42
23 41 46
41 48 0
12 7 39
37 16 45
11 7 6
50 44 33
45 10 13
23 44 42
30 11 19
40 44 16
29 37 27
35 41 46
43 4 9
33 4 43
23 40 28
42 6 10
36 44 40
43 35 31
50 32 0
21 38 6
24 35 31
24 41 42
30 20 33
18 22 49
5 50 16
36 27 45
47 9 48
15 12 24
27 43 22
6 10 45
33 12 50
15 22 29
34 36 35
25 41 10
12 50 41
30 2 14
32 21 28
28 33 10
13 45 41
50 3 0
47 43 2
7 34 46
15 34 24
6 49 45
32 20 48
14 39 25
27 32 2
29 13 35
22 28 38
31 16 20
23 21 39
42 5 10
25 44 3
18 48 45
14 11 34
12 38 37
18 20 2
2 28 42
36 39 18
12 42 16
47 39 10
13 26 33
24 5 21
29 12 0
3 14 19
31 49 32
1 44 23
44 23 35
15 43 40
16 32 38
4 42 25
17 34 46
27 22 10
30 22 44
36 4 9
20 45 5
46 2 36
24 40 5
28 37 20
38 15 36
10 19 49
18 15 11
17 7 30
48 25 4
4 42 26
20 23 42
2 48 28
5 1 13
17 50 25
8 6 3
20 4 1
45 5 14
18 29 41
30 13 7
42 40 27
34 32 6
16 42 6
31 36 32
41 6 14
22 34 0
20 45 42
49 35 9
32 14 36
32 44 43
17 22 34
50 48 6
8 40 33
42 6 26
28 45 38
17 33 31
47 16 49
34 45 34
8 41 14
4 9 26
43 34 33
34 38 45
42 45 21
2 14 24
49 15 35
18 44 27
16 5 47
24 16 18
37 26 36
16 40 21
42 8 20
16 29 21
35 31 23
4 40 40
7 2 48
17 5 32
48 21 28
12 38 25
36 34 8
49 40 39
17 15 37
24 22 46
16 46 5
17 27 10
37 17 50
25 40 8
17 18 47
12 13 43
32 18 7
39 32 42
29 47 17
49 46 14
7 30 42
46 29 36
6 11 45
44 5 3
20 1 41
4 29 37
48 46 20
12 30 28
29 8 48
14 38 13
17 29 3
44 26 27
47 29 37
6 19 29
29 34 7
17 34 38
47 27 15
30 4 2
20 17 48
20 39 9
49 32 40
7 35 46
4 27 50
22 31 41
19 21 2
24 18 30
20 24 35
35 34 49
34 44 36
27 37 5
28 32 8
27 16 36
50 30 10
25 48 31
10 44 26
24 42 36
3 30 7
37 15 42
9 41 40
15 1 10
14 43 20
44 21 18
6 22 4
16 28 18
24 37 21
21 42 41
48 8 47
15 25 10
18 1 9
15 35 1
11 13 16
48 28 49
15 7 31
16 4 48
10 6 31
9 20 40
26 33 46
31 31 45
41 43 3
10 26 29
33 32 21
7 36 38
19 6 3
35 33 4
28 33 30
38 1 39
33 25 30
45 26 45
29 24 45
29 15 29
26 42 44
35 2 46
32 41 26
34 46 13
22 31 38
41 17 8
9 28 24
38 24 7
29 19 39
44 4 45
35 6 6
40 46 41
12 50 28
41 48 2
19 19 43
4 47 21
28 6 33
6 14 30
