10 50
1 2 32
1 3 49
3 4 15
2 5 18
2 6 39
6 7 30
5 8 21
8 9 32
9 10 19
1 1 16
7 5 9
2 8 13
8 8 4
4 4 47
10 10 2
9 2 17
7 7 47
9 4 25
3 2 33
10 1 23
9 8 33
2 6 6
2 1 32
1 5 32
9 2 6
5 9 45
4 5 19
9 9 10
8 9 15
4 9 8
8 4 15
8 1 24
10 5 16
2 6 17
10 10 47
4 9 38
5 9 2
3 10 20
4 6 33
8 4 12
9 4 40
9 9 6
9 7 27
9 10 32
3 8 10
3 9 9
1 10 20
2 9 26
7 9 27
5 3 36
10 50
1 2 47
1 3 30
3 4 46
2 5 5
3 6 34
1 7 27
2 8 2
4 9 20
3 10 25
3 7 38
3 6 11
4 1 50
9 2 43
6 10 39
6 3 1
9 6 8
8 8 10
10 3 40
10 2 12
9 10 35
6 6 30
2 10 17
1 6 26
10 4 43
7 10 30
10 10 10
10 7 46
8 6 40
6 7 16
6 3 8
2 5 30
7 2 2
6 4 23
3 4 24
6 3 47
2 7 29
3 7 25
7 5 22
2 10 26
4 1 27
10 5 11
4 10 27
1 5 32
7 10 2
3 5 0
8 9 26
2 9 11
8 6 2
5 5 28
3 5 9
10 50
1 2 14
2 3 20
1 4 43
2 5 17
4 6 38
3 7 16
2 8 11
6 9 14
6 10 28
6 8 19
4 5 13
2 2 35
6 3 46
2 6 2
3 3 26
1 5 23
4 1 11
1 1 17
2 4 31
8 7 5
1 1 43
5 6 26
7 6 20
3 9 19
9 7 31
5 2 0
10 5 49
8 1 49
1 7 1
6 1 14
4 8 39
10 5 12
6 7 28
5 8 19
10 8 24
1 4 2
4 3 17
2 8 14
5 6 46
7 3 49
2 7 32
8 2 18
1 1 39
4 9 32
3 2 44
4 1 8
6 9 37
1 8 2
4 10 48
5 8 10
10 50
1 2 0
2 3 50
3 4 13
1 5 27
5 6 39
1 7 25
5 8 1
5 9 34
2 10 3
7 6 4
8 7 11
8 8 9
2 10 15
8 3 44
7 8 14
4 2 8
6 10 6
7 3 31
3 4 20
5 5 14
10 8 40
8 4 41
6 2 35
6 9 20
3 4 35
2 2 39
6 10 30
7 1 8
4 6 8
10 9 33
5 4 6
7 5 5
6 7 4
2 9 26
2 4 45
3 6 16
8 2 38
3 9 24
4 7 32
6 4 44
1 9 29
3 3 48
2 10 44
6 9 48
10 8 16
4 6 31
1 2 36
6 9 12
6 3 38
4 2 19
0 0
