40 500
1 2 34
1 3 21
3 4 1
1 5 39
2 6 18
2 7 21
4 8 47
1 9 16
3 10 25
4 11 35
3 12 49
6 13 6
13 14 39
10 15 25
7 16 41
3 17 17
17 18 38
13 19 33
9 20 23
8 21 7
20 22 47
9 23 40
6 24 6
7 25 10
11 26 50
2 27 47
8 28 20
20 29 13
2 30 22
30 31 43
13 32 39
6 33 13
20 34 19
12 35 34
19 36 22
35 37 33
22 38 25
21 39 0
1 40 23
39 39 50
14 6 31
8 14 31
31 27 42
11 2 1
38 29 21
14 36 36
12 32 36
12 34 26
12 10 40
28 23 28
37 9 12
38 40 37
24 22 17
30 12 29
16 20 21
6 4 19
25 2 38
16 30 11
26 16 43
38 4 50
5 33 36
16 21 36
4 31 31
6 37 34
19 21 3
9 5 16
38 28 15
20 31 16
31 31 41
25 1 14
3 5 21
29 27 10
37 27 25
29 33 26
13 26 19
20 7 28
17 12 32
27 18 43
26 31 36
35 29 49
30 4 19
17 4 28
22 15 30
16 16 21
20 23 9
21 25 46
17 18 45
25 25 29
6 16 35
29 12 14
27 25 41
11 32 28
20 20 9
8 39 12
39 15 29
33 21 42
38 23 25
36 32 43
30 26 5
8 40 17
9 11 45
33 38 4
29 19 43
3 31 35
22 40 10
30 8 22
32 34 48
27 16 22
17 1 28
28 38 14
7 6 4
23 23 31
31 12 27
24 36 29
33 12 33
13 18 43
2 28 16
29 3 20
25 30 23
32 34 2
25 2 21
25 1 19
14 38 43
3 19 0
19 10 38
39 11 0
22 36 40
4 39 18
27 2 11
21 10 31
12 4 17
21 23 21
10 16 19
23 35 4
16 11 6
23 35 4
16 29 32
4 26 26
8 20 44
25 28 27
29 29 20
40 1 36
21 14 16
32 7 45
23 25 1
34 37 26
24 9 1
31 12 44
3 7 40
39 25 12
22 24 38
9 31 20
17 15 25
39 7 30
33 33 29
28 22 1
10 26 10
30 3 4
16 20 47
33 27 49
4 23 21
22 17 10
33 33 8
34 11 27
1 6 33
11 9 25
5 37 42
11 40 48
36 33 24
31 25 12
36 22 7
4 27 19
13 39 48
15 27 0
26 5 39
22 22 6
6 11 47
23 8 32
34 28 20
29 40 0
30 5 11
26 21 37
25 33 40
21 17 10
30 40 13
21 28 16
21 17 42
8 16 1
1 12 16
20 37 4
6 40 27
22 10 11
8 5 1
4 22 26
5 9 42
15 5 40
38 12 26
28 32 9
20 1 22
22 29 16
1 28 35
38 27 23
5 9 20
22 6 10
2 16 50
3 28 27
15 37 35
25 2 34
37 27 29
30 21 1
30 30 6
22 5 0
28 1 8
23 13 36
33 7 49
20 39 21
24 28 15
35 17 40
1 14 27
21 33 5
25 34 45
26 18 35
8 1 29
29 11 34
40 29 40
10 24 17
31 4 14
11 28 27
34 3 17
2 24 0
12 40 15
39 2 33
39 39 2
18 25 38
3 22 44
21 28 1
35 24 16
33 20 15
12 12 37
2 6 16
19 1 30
15 3 4
21 16 35
4 36 41
20 9 38
13 18 32
16 11 5
30 9 1
16 12 22
10 38 3
15 8 41
13 18 29
17 25 37
32 18 8
6 13 45
29 6 17
19 7 34
6 9 37
33 18 2
8 40 17
36 34 1
30 8 22
23 16 34
16 24 20
6 34 22
10 18 6
14 11 0
19 13 47
16 22 38
12 10 42
33 20 45
39 39 40
9 13 16
28 12 3
15 32 37
6 28 4
22 29 6
13 36 26
28 37 20
20 8 46
13 8 42
34 10 2
13 15 43
7 10 48
10 20 7
13 37 43
24 38 9
30 3 9
33 2 48
24 7 30
33 35 42
37 26 48
36 2 21
24 33 3
3 10 9
40 38 48
15 20 35
31 40 19
14 26 42
31 10 43
26 18 32
9 31 15
29 3 32
25 15 13
38 5 21
2 30 1
11 40 0
28 21 7
2 22 48
31 27 23
7 22 47
12 35 49
7 23 44
34 15 20
20 27 1
34 17 22
19 33 24
17 11 34
5 27 5
16 3 30
2 7 5
1 27 8
32 31 24
18 24 40
3 10 48
23 3 25
33 15 44
39 36 31
33 38 16
24 1 7
11 2 26
25 26 15
40 6 15
27 3 21
34 11 38
9 37 44
26 20 38
12 10 19
11 23 22
38 39 4
9 12 43
26 14 30
23 28 33
16 2 24
15 33 34
2 19 35
4 4 17
16 39 23
20 40 5
5 35 34
30 27 31
19 37 23
31 13 47
9 13 1
38 30 24
39 29 2
16 19 29
20 6 23
1 21 33
29 2 10
28 32 3
38 31 18
4 10 47
24 21 3
10 15 32
40 6 23
14 11 49
5 17 36
5 32 24
23 32 42
5 28 3
20 35 7
18 30 2
38 6 10
29 33 49
38 30 11
28 24 33
12 31 41
5 19 24
32 13 6
21 10 45
9 23 45
3 40 35
15 10 29
7 21 49
7 5 26
27 24 47
29 6 3
35 28 9
7 2 37
35 6 42
34 33 48
33 33 0
9 40 42
10 4 0
6 36 6
16 40 25
8 40 15
2 35 18
39 4 17
24 18 3
6 24 48
18 1 4
7 40 14
13 5 36
20 36 32
8 11 5
16 22 22
6 33 2
5 19 47
23 30 9
10 3 14
23 31 11
21 37 0
36 33 28
36 17 37
35 38 27
12 3 45
22 38 32
34 5 19
36 38 38
23 6 34
39 1 6
30 40 3
15 25 23
16 36 32
13 7 18
2 5 33
27 7 15
5 32 20
37 35 46
14 5 37
18 25 9
15 17 6
34 37 41
37 31 8
27 32 29
36 21 38
2 12 36
29 26 39
30 15 12
32 39 4
9 14 20
38 15 21
17 38 50
23 30 12
9 30 47
2 26 33
1 1 36
23 22 35
25 30 22
23 1 41
4 33 11
12 4 38
4 13 5
10 40 34
6 17 0
4 37 38
29 19 38
4 19 26
34 12 47
28 24 14
17 11 26
25 20 44
35 13 40
2 21 27
29 16 38
15 38 33
3 32 17
21 20 29
9 3 43
28 11 17
27 32 25
35 2 32
28 36 36
36 11 15
35 40 31
34 25 48
1 39 18
34 5 0
11 13 43
25 7 39
18 10 47
20 18 40
26 36 32
7 18 24
11 36 38
36 23 20
7 17 50
4 17 22
2 40 28
5 35 40
30 24 42
15 38 2
4 27 21
2 33 31
20 16 31
32 2 12
27 34 25
30 7 16
40 500
1 2 14
1 3 13
3 4 17
4 5 45
2 6 2
5 7 30
2 8 13
4 9 12
5 10 6
4 11 16
9 12 47
4 13 29
12 14 28
6 15 22
7 16 18
4 17 42
4 18 47
2 19 10
18 20 26
16 21 9
6 22 48
16 23 14
23 24 12
18 25 0
14 26 22
13 27 31
6 28 21
13 29 24
13 30 24
11 31 33
27 32 25
26 33 27
20 34 29
24 35 17
4 36 21
35 37 37
17 38 48
3 39 45
1 40 32
24 27 15
40 29 18
4 40 33
17 1 31
19 19 41
32 34 47
10 5 6
13 16 30
33 19 37
21 1 27
5 28 39
34 17 47
37 14 29
15 32 35
40 3 12
21 17 42
30 29 9
11 3 24
1 35 7
16 3 48
9 26 15
7 5 41
2 4 34
38 9 18
31 16 24
14 16 19
12 7 22
2 6 34
1 5 37
31 30 50
1 4 37
25 22 28
3 35 36
27 15 20
19 5 7
20 1 17
22 3 29
7 21 24
33 35 8
27 37 34
18 3 26
30 22 35
26 23 4
31 4 2
19 10 24
27 2 35
12 28 7
39 13 3
2 34 33
14 37 10
5 36 16
5 14 48
14 38 49
13 14 14
11 25 44
10 9 48
4 21 50
37 24 4
9 21 48
32 14 47
12 13 3
17 40 29
10 35 7
22 33 20
21 11 4
3 16 25
18 32 7
2 4 46
4 26 17
25 34 7
34 5 9
26 23 34
8 34 19
10 24 30
36 31 48
20 22 12
25 36 7
25 19 44
39 24 37
31 36 14
1 36 45
33 26 32
13 7 24
26 6 50
35 30 20
10 13 12
2 30 29
27 11 4
34 4 24
36 1 43
30 11 48
2 1 30
4 30 40
26 22 48
15 34 10
16 18 16
32 19 37
24 7 19
16 32 46
11 32 11
21 16 38
8 1 40
14 35 24
19 22 48
21 40 40
33 30 36
11 33 20
18 25 26
32 11 18
2 4 24
19 39 27
16 14 36
29 33 21
6 25 33
7 11 13
36 5 32
6 9 41
8 9 7
16 28 17
34 5 7
26 21 22
1 27 2
22 32 30
25 25 4
33 25 25
8 31 34
8 15 45
37 26 43
3 20 45
2 36 10
5 22 25
13 14 22
25 30 8
26 24 25
27 31 20
14 18 23
23 27 33
27 25 43
40 23 12
32 19 35
24 7 2
28 19 23
31 24 27
15 26 32
36 34 7
28 34 36
13 25 33
5 1 35
16 7 5
38 34 33
20 2 38
23 32 33
13 32 8
6 4 49
22 21 17
21 4 7
34 36 22
37 3 30
13 10 37
22 17 1
21 12 34
1 39 30
10 26 38
3 22 27
31 34 26
1 1 30
20 22 38
34 26 12
15 28 10
25 40 16
18 9 29
7 6 21
9 24 37
25 10 49
36 4 39
39 18 20
15 32 19
10 14 6
6 1 16
37 35 43
25 39 41
28 9 10
22 33 47
17 28 33
40 5 45
2 22 47
16 10 18
13 11 16
17 40 23
39 19 10
7 4 39
10 31 27
39 5 29
30 25 6
14 19 37
3 16 45
24 6 20
28 27 26
6 11 46
32 23 46
13 11 32
9 3 43
18 7 36
14 16 34
19 38 32
31 25 18
9 26 14
22 4 49
30 1 42
26 4 9
27 34 37
35 10 5
40 11 5
17 29 43
23 33 48
24 16 41
22 20 35
