50 1000
1 2 46
2 3 40
2 4 35
2 5 48
2 6 22
3 7 13
4 8 23
6 9 8
2 10 48
7 11 35
10 12 40
3 13 38
8 14 43
1 15 1
4 16 12
4 17 13
14 18 45
13 19 0
10 20 40
19 21 9
8 22 6
17 23 21
8 24 4
24 25 39
12 26 13
21 27 4
20 28 35
4 29 2
22 30 42
8 31 39
3 32 47
15 33 11
14 34 33
34 35 43
26 36 31
35 37 21
23 38 3
27 39 36
22 40 37
31 41 6
13 42 3
36 43 6
25 44 6
1 45 25
42 46 33
43 47 16
21 48 44
11 49 7
8 50 6
28 50 20
44 27 48
35 13 1
50 15 10
16 22 2
7 7 4
1 39 17
3 26 3
34 35 5
10 43 27
9 27 13
33 31 27
49 31 25
42 38 23
38 44 37
8 29 28
20 17 41
15 20 46
35 18 41
3 43 48
1 17 9
5 26 14
21 46 33
22 41 38
6 27 16
25 13 50
12 4 42
11 28 26
1 31 48
31 31 40
14 20 25
33 6 15
15 7 49
35 7 37
7 26 35
8 36 0
3 6 45
10 12 34
32 12 40
16 50 15
12 48 25
26 1 0
44 33 7
23 1 45
13 19 39
1 6 2
5 10 10
23 23 36
32 32 23
10 16 0
33 32 0
48 46 49
23 32 22
33 7 34
6 48 49
13 44 25
25 5 34
30 37 14
41 20 26
25 17 46
9 48 19
1 47 23
35 39 28
5 29 23
10 35 39
49 35 21
38 7 35
34 6 35
1 16 7
49 25 47
19 14 38
32 19 32
49 9 39
40 6 3
8 29 10
5 44 35
14 5 34
10 23 40
43 30 46
33 35 39
3 8 37
1 31 10
14 24 18
1 27 7
44 23 13
8 46 28
26 27 32
20 39 36
11 39 0
50 33 18
40 1 10
26 10 25
28 16 50
27 12 10
3 45 9
43 15 34
3 2 50
4 26 2
50 30 30
39 10 48
27 16 20
4 47 42
48 17 41
28 45 31
42 35 19
32 6 3
14 14 17
24 25 20
49 2 50
50 46 36
1 36 14
24 46 34
12 17 15
32 49 26
10 9 26
4 24 6
49 48 1
13 27 43
39 18 39
43 19 38
19 2 1
7 48 13
17 6 32
25 13 47
4 27 33
23 25 5
1 1 29
4 25 49
28 28 33
42 22 4
50 16 33
47 8 42
50 27 43
45 23 7
10 21 6
14 50 18
49 26 9
34 37 40
28 50 38
27 5 16
45 16 8
3 14 25
33 5 14
28 32 2
30 47 31
43 30 21
5 34 20
13 5 19
36 6 40
22 33 3
15 21 28
16 4 27
11 46 10
15 6 26
12 22 20
48 26 33
11 2 19
11 2 26
32 36 48
31 1 49
12 11 13
43 48 25
13 21 23
31 40 8
12 23 44
36 8 14
43 38 16
29 33 3
40 47 20
42 21 50
1 2 18
23 6 30
24 40 39
12 38 3
44 20 44
10 11 25
47 36 5
27 18 43
50 28 12
50 32 8
27 2 36
49 1 2
50 19 6
19 24 27
29 24 26
44 46 5
38 36 16
9 38 0
18 43 43
22 33 21
23 28 25
14 23 18
47 1 31
15 30 35
35 50 17
29 40 34
19 24 23
41 36 18
16 39 28
48 24 26
42 8 34
37 49 18
23 50 45
38 44 35
36 12 3
9 50 1
9 36 25
21 15 16
3 2 2
33 23 33
3 20 24
6 10 28
44 16 33
34 36 11
10 44 31
3 23 15
26 16 39
6 26 48
11 4 25
46 42 3
6 1 42
24 8 2
48 4 25
8 20 22
1 13 23
36 3 24
19 23 19
49 3 44
5 38 37
40 21 36
38 18 26
42 45 3
1 9 0
24 18 28
19 35 15
15 46 44
40 27 19
3 34 36
40 50 35
5 36 39
25 50 31
23 49 34
7 3 17
16 9 1
15 2 27
39 32 14
41 41 12
12 18 26
15 10 10
38 13 22
49 25 38
21 38 41
33 15 13
42 3 42
21 7 8
18 2 27
3 43 46
13 50 36
14 39 24
8 20 29
45 47 27
45 34 19
49 39 45
50 31 7
35 8 41
3 23 9
36 20 18
45 18 39
30 33 37
22 10 32
22 4 22
42 29 14
33 26 19
12 29 10
5 6 42
35 7 16
16 20 49
34 3 32
1 25 35
8 29 20
24 48 19
48 36 45
23 19 38
21 2 25
3 14 37
31 50 19
11 10 39
13 17 30
29 23 0
38 10 6
44 19 36
11 11 25
48 7 36
34 14 30
36 50 45
7 43 40
9 17 19
45 18 15
2 29 3
17 46 41
2 6 39
38 16 27
20 20 13
29 25 41
5 34 40
22 38 23
33 19 10
31 29 27
35 40 36
30 30 18
28 24 9
39 28 10
39 17 15
36 1 5
26 1 19
21 26 13
29 1 47
47 31 1
21 24 31
48 13 32
12 43 6
13 5 48
36 26 26
40 4 6
32 48 19
18 3 40
23 8 11
34 9 2
17 11 21
28 39 22
38 37 8
36 5 15
37 29 13
13 32 17
40 7 11
6 4 45
16 18 37
17 35 7
8 15 25
39 11 3
21 2 32
43 16 12
48 47 24
10 40 18
26 41 44
8 29 15
18 5 13
8 9 1
23 20 11
22 32 14
24 18 50
6 47 10
4 19 30
14 15 16
48 45 1
47 43 14
7 42 36
3 14 32
7 26 8
48 27 31
28 34 50
4 45 28
47 50 12
23 21 16
43 6 6
