20 100
1 2 4
1 3 4
3 4 30
2 5 27
3 6 7
6 7 12
3 8 28
2 9 2
2 10 8
4 11 13
8 12 22
5 13 42
6 14 0
14 15 10
11 16 4
11 17 18
15 18 31
7 19 30
18 20 44
4 7 19
10 12 34
3 5 33
12 14 20
13 19 23
16 6 36
3 4 9
5 8 35
5 12 31
6 16 14
19 7 50
20 3 35
5 10 11
6 1 9
11 19 8
13 4 13
8 13 43
2 4 10
8 4 18
16 10 23
4 9 6
4 9 0
4 10 40
9 2 0
1 9 20
15 19 5
11 7 29
11 4 44
8 9 18
16 4 48
19 6 45
5 10 10
20 4 40
5 7 25
7 19 12
16 6 13
17 10 44
5 16 20
14 16 35
9 17 26
7 7 31
5 10 10
13 7 24
6 14 46
2 17 22
17 15 10
19 17 22
16 16 31
2 11 9
18 12 39
11 11 4
14 15 1
13 17 0
14 3 34
15 4 48
9 17 38
14 18 6
1 9 28
19 19 17
2 16 29
17 4 15
3 10 12
9 10 42
15 14 7
4 3 27
19 10 6
20 9 12
6 4 1
13 5 40
19 14 45
19 3 30
2 11 14
2 9 12
16 14 32
10 18 24
12 1 7
16 18 50
11 16 24
9 13 30
6 15 32
15 5 4
20 100
1 2 16
2 3 43
3 4 10
3 5 25
4 6 21
1 7 7
4 8 19
1 9 1
5 10 38
4 11 40
6 12 28
1 13 43
1 14 22
8 15 44
8 16 11
8 17 41
1 18 38
6 19 37
15 20 39
7 14 45
10 17 41
20 9 45
6 2 10
17 17 3
8 7 33
1 5 39
3 2 25
10 5 33
14 3 15
6 2 39
12 4 40
19 9 12
8 8 43
17 13 21
10 15 8
11 17 4
13 17 26
9 6 34
13 12 44
20 15 31
5 3 2
10 13 8
4 19 33
20 7 21
17 7 11
19 14 16
13 7 37
8 6 32
8 3 31
13 11 18
20 19 14
3 9 43
16 16 30
17 8 41
18 19 37
17 12 22
6 10 5
1 10 46
8 1 26
16 16 19
15 2 27
15 7 27
10 9 18
16 4 19
16 2 35
15 9 9
5 6 24
2 3 24
10 10 26
11 4 24
11 6 2
18 17 0
17 14 3
12 5 12
6 16 8
18 5 26
11 5 22
2 9 6
14 13 47
17 15 41
13 17 9
15 1 27
12 4 0
20 10 3
6 6 6
16 11 49
7 5 8
10 15 12
14 16 6
13 2 34
12 19 16
11 7 3
20 15 18
3 13 4
5 16 44
3 5 7
15 1 1
3 2 36
10 18 47
15 16 3
20 100
1 2 45
2 3 40
3 4 43
1 5 30
3 6 47
1 7 0
5 8 29
8 9 36
3 10 16
10 11 8
6 12 40
7 13 31
6 14 34
4 15 46
2 16 23
8 17 17
9 18 23
10 19 8
8 20 30
3 4 20
1 17 37
17 3 1
5 6 8
10 18 9
18 15 15
12 9 24
9 4 15
12 7 26
4 13 38
6 9 11
19 6 22
14 4 12
9 11 10
10 11 20
10 15 23
8 6 18
15 14 16
11 13 23
18 3 13
3 11 5
11 2 33
4 18 0
10 16 49
11 3 32
7 19 30
9 11 1
14 19 41
7 4 17
13 11 39
2 15 39
8 4 12
2 19 28
15 11 26
2 19 34
8 17 2
16 10 31
7 16 41
1 14 9
9 9 19
1 14 14
11 16 34
13 18 22
13 9 5
15 5 47
8 13 29
9 16 41
4 18 0
2 16 7
13 1 36
12 4 48
12 14 45
11 15 17
1 20 44
5 12 36
20 8 25
19 4 34
13 14 46
15 1 21
6 18 4
6 1 16
11 13 27
20 19 34
14 18 14
18 1 48
11 17 5
20 19 3
20 10 18
13 5 32
8 9 27
4 18 8
17 8 19
12 3 38
17 2 47
4 4 38
13 13 48
14 15 38
1 17 6
20 5 11
19 1 42
5 8 2
20 100
1 2 49
1 3 23
1 4 37
4 5 4
1 6 36
2 7 41
5 8 3
3 9 21
3 10 13
1 11 37
3 12 33
8 13 9
3 14 26
12 15 9
11 16 3
9 17 33
7 18 1
9 19 43
2 20 19
3 14 22
7 12 16
18 7 2
17 10 48
10 12 9
14 7 13
10 16 13
13 1 31
8 12 32
16 3 14
1 15 29
6 6 32
19 2 14
1 19 15
6 8 21
10 16 17
14 10 15
3 15 44
17 13 28
3 3 47
12 2 37
20 6 45
12 19 48
7 9 16
10 20 40
7 7 26
15 9 38
18 14 15
2 4 34
16 3 42
13 7 19
2 17 11
8 16 11
16 19 43
20 15 3
14 15 8
4 16 37
13 14 22
7 1 4
2 11 25
16 20 22
14 17 47
14 6 43
14 11 20
20 8 8
6 4 5
2 10 32
2 17 21
12 11 36
13 13 33
6 1 11
14 19 29
9 19 19
7 12 13
1 18 30
9 10 30
10 5 19
16 18 10
9 5 0
18 9 5
20 11 17
20 7 4
12 11 27
6 16 3
12 1 12
5 8 25
1 8 32
12 15 28
9 12 12
18 6 1
18 5 48
3 9 49
3 1 33
9 19 44
8 10 11
5 14 19
14 2 22
3 2 6
14 6 20
16 5 21
5 2 10
20 100
1 2 4
1 3 48
1 4 28
1 5 50
2 6 27
5 7 45
1 8 38
1 9 43
5 10 6
10 11 30
6 12 8
1 13 31
4 14 4
7 15 42
1 16 9
8 17 0
9 18 13
6 19 22
17 20 27
1 6 33
6 3 31
17 1 32
9 3 36
17 1 33
1 14 31
14 15 29
16 1 23
8 1 5
2 7 5
9 2 26
6 17 10
17 13 40
4 3 31
3 2 28
19 9 32
15 18 32
16 11 4
16 10 9
20 1 50
12 6 25
13 2 46
10 14 32
14 3 24
15 1 40
4 5 27
5 13 38
6 11 26
8 15 35
4 17 50
11 20 12
12 11 50
11 2 44
16 10 38
7 20 31
8 16 2
9 14 13
14 20 32
6 3 0
8 6 36
15 10 36
19 18 31
19 18 26
13 5 15
5 9 46
11 4 37
8 2 5
12 13 28
4 2 14
2 6 20
16 11 36
13 3 13
16 16 30
20 19 27
15 9 43
6 8 48
11 5 12
5 15 25
19 6 33
11 2 49
15 4 0
8 7 9
17 6 18
19 10 38
18 16 33
5 11 28
15 18 21
14 13 45
2 15 30
5 7 48
20 3 37
5 13 9
4 20 29
6 17 12
9 18 46
18 18 40
16 17 15
14 2 46
1 17 15
5 8 34
11 20 24
0 0
